uuid,sku,variety,title,price,in_stock,link,category,tags,image_url,image_path,split,cleaned_strings,length_cm,length_inches,gender,breeder,tags_list
6eb027,9876548878648,Default Title,Default Title — 25D-025 Ginrin Tancho,3600.0,True,https://www.champkoi.com/products/25d-025-ginrin-tancho,Single_Koi,['Ginrin Tancho'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-025_600x_443f12ae-ea6d-42e0-8c49-60c97bb88dc0.jpg?v=1745004583,champkoi_data/6eb027_Default_Title_—_25D-025_Ginrin_Tancho.jpg,"['Default', 'Title', '—', '25D-025', 'Ginrin', 'Tancho']","['25D-025', 'Ginrin', 'Tancho']",,,,,['Ginrin Tancho']
9b7d63,9876549402936,Default Title,Default Title — 25D-027 Ginrin Tancho,3600.0,False,https://www.champkoi.com/products/25d-027-ginrin-tancho,Single_Koi,['Ginrin Tancho'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-027_600x_d9ebe355-d8be-4eca-aa02-65400f5972fd.jpg?v=1745004685,champkoi_data/9b7d63_Default_Title_—_25D-027_Ginrin_Tancho.jpg,"['Default', 'Title', '—', '25D-027', 'Ginrin', 'Tancho']","['25D-027', 'Ginrin', 'Tancho']",,,,,['Ginrin Tancho']
b2b6ab,8970191470904,Default Title,Default Title — 24B-069 Kohaku,3800.0,False,https://www.champkoi.com/products/24b-069-kohaku,Single_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24B-069.jpg?v=1706933426,champkoi_data/b2b6ab_Default_Title_—_24B-069_Kohaku.jpg,"['Default', 'Title', '—', '24B-069', 'Kohaku']","['24B-069', 'Kohaku']",,,,,['Kohaku']
3e5701,8980143472952,Default Title,Default Title — 24D-105 Showa,3800.0,True,https://www.champkoi.com/products/24d-105-showa,Single_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24D-105.jpg?v=1707351062,champkoi_data/3e5701_Default_Title_—_24D-105_Showa.jpg,"['Default', 'Title', '—', '24D-105', 'Showa']","['24D-105', 'Showa']",,,,,['Showa']
942654,9009458741560,Default Title,Default Title — 24F-188 Showa,3800.0,True,https://www.champkoi.com/products/24f-188-showa,Single_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24F-188.jpg?v=1709172317,champkoi_data/942654_Default_Title_—_24F-188_Showa.jpg,"['Default', 'Title', '—', '24F-188', 'Showa']","['24F-188', 'Showa']",,,,,['Showa']
8a2be0,9009458839864,Default Title,Default Title — 24F-189 Showa,3800.0,False,https://www.champkoi.com/products/24f-189-showa,Single_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24F-189.jpg?v=1709172325,champkoi_data/8a2be0_Default_Title_—_24F-189_Showa.jpg,"['Default', 'Title', '—', '24F-189', 'Showa']","['24F-189', 'Showa']",,,,,['Showa']
fc900e,9616868507960,Default Title,Default Title — 2024FALL-143 Aragoke,3800.0,True,https://www.champkoi.com/products/2024fall-143-aragoke,Presale_Koi,['Aragoke'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-143_600x_86df6dd7-757e-44be-8c76-0e07621e6ad2.jpg?v=1729858962,champkoi_data/fc900e_Default_Title_—_2024FALL-143_Aragoke.jpg,"['Default', 'Title', '—', '2024FALL-143', 'Aragoke']","['2024FALL-143', 'Aragoke']",,,,,['Aragoke']
20d34c,9616869425464,Default Title,Default Title — 2024FALL-144 Showa,3800.0,True,https://www.champkoi.com/products/2024fall-144-showa,Presale_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-144_600x_25e9c603-9cd2-4006-8251-ae4c13edff1b.jpg?v=1729859210,champkoi_data/20d34c_Default_Title_—_2024FALL-144_Showa.jpg,"['Default', 'Title', '—', '2024FALL-144', 'Showa']","['2024FALL-144', 'Showa']",,,,,['Showa']
6d4ada,9624117313848,Default Title,Default Title — 2024FALL-175 Shusui,3800.0,True,https://www.champkoi.com/products/2024fall-175-shusui,Presale_Koi,['Shusui'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-175_600x_115c3811-39ad-4c98-808a-f64fdad01391.jpg?v=1730447542,champkoi_data/6d4ada_Default_Title_—_2024FALL-175_Shusui.jpg,"['Default', 'Title', '—', '2024FALL-175', 'Shusui']","['2024FALL-175', 'Shusui']",,,,,['Shusui']
6aff45,9829156979000,Default Title,Default Title — 25B-009 Kohaku,3800.0,True,https://www.champkoi.com/products/25b-009-kohaku,Single_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-009_600x_c074f802-4c5c-462d-8ff2-f2ae4ae04560.jpg?v=1741843723,champkoi_data/6aff45_Default_Title_—_25B-009_Kohaku.jpg,"['Default', 'Title', '—', '25B-009', 'Kohaku']","['25B-009', 'Kohaku']",,,,,['Kohaku']
32aaf3,9829186371896,Default Title,Default Title — 25B-012 Tancho Kujaku,3800.0,True,https://www.champkoi.com/products/25b-012-tancho-kujaku,Single_Koi,['Tancho Kujaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-012_600x_4c8b9894-ea8e-472c-aa32-f788e5de5828.jpg?v=1741843976,champkoi_data/32aaf3_Default_Title_—_25B-012_Tancho_Kujaku.jpg,"['Default', 'Title', '—', '25B-012', 'Tancho', 'Kujaku']","['25B-012', 'Tancho', 'Kujaku']",,,,,['Tancho Kujaku']
47cd41,9876548387128,Default Title,Default Title — 25D-022 Shiro Utsuri,3800.0,False,https://www.champkoi.com/products/25d-022-shiro-utsuri,Single_Koi,['Shiro Utsuri'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-022_600x_c6a79242-fc72-479d-a7c2-fd1bf98f651b.jpg?v=1745004448,champkoi_data/47cd41_Default_Title_—_25D-022_Shiro_Utsuri.jpg,"['Default', 'Title', '—', '25D-022', 'Shiro', 'Utsuri']","['25D-022', 'Shiro', 'Utsuri']",,,,,['Shiro Utsuri']
21edf2,9606410993976,Default Title,Default Title — 2024FALL-020 Chagoi,4000.0,True,https://www.champkoi.com/products/2024fall-020,Presale_Koi,['Chagoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-020_600x_d4472b99-28d3-4da3-8632-020220330add.jpg?v=1728857954,champkoi_data/21edf2_Default_Title_—_2024FALL-020_Chagoi.jpg,"['Default', 'Title', '—', '2024FALL-020', 'Chagoi']","['2024FALL-020', 'Chagoi']",,,,,['Chagoi']
475692,9876547502392,Default Title,Default Title — 25D-018 Tancho,4200.0,True,https://www.champkoi.com/products/25d-018-tancho,Single_Koi,['Tancho'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-018_600x_925d3dd3-2d4c-4bba-a379-4d5794e8f002.jpg?v=1745004275,champkoi_data/475692_Default_Title_—_25D-018_Tancho.jpg,"['Default', 'Title', '—', '25D-018', 'Tancho']","['25D-018', 'Tancho']",,,,,['Tancho']
1492a7,9617340858680,Default Title,Default Title — 2024FALL-154 Kohaku,4300.0,True,https://www.champkoi.com/products/2024fall-154-kohaku,Presale_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-154_600x_f9979297-4431-49a5-879b-3c5b29dc2309.jpg?v=1729925320,champkoi_data/1492a7_Default_Title_—_2024FALL-154_Kohaku.jpg,"['Default', 'Title', '—', '2024FALL-154', 'Kohaku']","['2024FALL-154', 'Kohaku']",,,,,['Kohaku']
4fb403,9617341055288,Default Title,Default Title — 2024FALL-155 Kohaku,4300.0,True,https://www.champkoi.com/products/2024fall-155-kohaku,Presale_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-155_fb4e1bc9-9c38-4447-9ec9-59e30d880367.jpg?v=1730455040,champkoi_data/4fb403_Default_Title_—_2024FALL-155_Kohaku.jpg,"['Default', 'Title', '—', '2024FALL-155', 'Kohaku']","['2024FALL-155', 'Kohaku']",,,,,['Kohaku']
e8f910,9134044414264,Default Title,Default Title — 24H-212 Aka Matsuba,4500.0,True,https://www.champkoi.com/products/24h-212-aka-matsubashus,Single_Koi,['Aka Matsuba'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/24H-212_260e7b59-92a1-4064-b4f0-e39a90ec33f3.jpg?v=1712425594,champkoi_data/e8f910_Default_Title_—_24H-212_Aka_Matsuba.jpg,"['Default', 'Title', '—', '24H-212', 'Aka', 'Matsuba']","['24H-212', 'Aka', 'Matsuba']",,,,,['Aka Matsuba']
4304b6,8569604800824,Default Title,Default Title — 23A-304 Ginrin Chagoi,4640.0,False,https://www.champkoi.com/products/23a-304-ginrin-chagoi,Single_Koi,['Ginrin Chagoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/23A-304.jpg?v=1692557733,champkoi_data/4304b6_Default_Title_—_23A-304_Ginrin_Chagoi.jpg,"['Default', 'Title', '—', '23A-304', 'Ginrin', 'Chagoi']","['23A-304', 'Ginrin', 'Chagoi']",,,,,['Ginrin Chagoi']
e6a548,9117417537848,Default Title,Default Title — 24G-210 Kohaku,4640.0,True,https://www.champkoi.com/products/24g-210-kohaku,Single_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/24G-210_d98d8ac4-8bc2-45a0-979d-5b34a7d28690.jpg?v=1712204925,champkoi_data/e6a548_Default_Title_—_24G-210_Kohaku.jpg,"['Default', 'Title', '—', '24G-210', 'Kohaku']","['24G-210', 'Kohaku']",,,,,['Kohaku']
e81197,9117417341240,Default Title,Default Title — 24G-209 Kohaku,4800.0,True,https://www.champkoi.com/products/24g-209-kohaku,Single_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/24G-209_0292d4f0-a307-42ba-ad17-efa4d94b6e8d.jpg?v=1712204894,champkoi_data/e81197_Default_Title_—_24G-209_Kohaku.jpg,"['Default', 'Title', '—', '24G-209', 'Kohaku']","['24G-209', 'Kohaku']",,,,,['Kohaku']
0d95f1,9602478047544,Default Title,Default Title — 2024FALL-007 Doitsu Showa,4800.0,True,https://www.champkoi.com/products/2024fall-007,Presale_Koi,['Doitsu Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-007_600x_f40448d2-0409-43eb-bf90-f29fce17bbb7.jpg?v=1728510839,champkoi_data/0d95f1_Default_Title_—_2024FALL-007_Doitsu_Showa.jpg,"['Default', 'Title', '—', '2024FALL-007', 'Doitsu', 'Showa']","['2024FALL-007', 'Doitsu', 'Showa']",,,,,['Doitsu Showa']
cee61a,9606416367928,Default Title,Default Title — 2024FALL-028 Ginrin Kohaku,4800.0,True,https://www.champkoi.com/products/2024fall-028,Presale_Koi,['Ginrin Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-028_600x_6054351d-f9fa-4c54-9f1d-b2478d686789.jpg?v=1728861207,champkoi_data/cee61a_Default_Title_—_2024FALL-028_Ginrin_Kohaku.jpg,"['Default', 'Title', '—', '2024FALL-028', 'Ginrin', 'Kohaku']","['2024FALL-028', 'Ginrin', 'Kohaku']",,,,,['Ginrin Kohaku']
dd2d88,9610831987000,Default Title,Default Title — 2024FALL-073 Kin Showa,4800.0,True,https://www.champkoi.com/products/2024fall-073-kin-showa,Presale_Koi,['Kin Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-073_600x_b5520079-4c17-43d8-aeb5-39ffff0fa1ca.jpg?v=1729233931,champkoi_data/dd2d88_Default_Title_—_2024FALL-073_Kin_Showa.jpg,"['Default', 'Title', '—', '2024FALL-073', 'Kin', 'Showa']","['2024FALL-073', 'Kin', 'Showa']",,,,,['Kin Showa']
173685,9624095981880,Default Title,Default Title — 2024FALL-166 Kogane Ochiba,4800.0,True,https://www.champkoi.com/products/2024fall-166-kogane-ochiba,Presale_Koi,['Kogane Ochiba'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-166_600x_6f0cf2a3-4062-4cde-9baf-d5b1fa78662a.jpg?v=1730445282,champkoi_data/173685_Default_Title_—_2024FALL-166_Kogane_Ochiba.jpg,"['Default', 'Title', '—', '2024FALL-166', 'Kogane', 'Ochiba']","['2024FALL-166', 'Kogane', 'Ochiba']",,,,,['Kogane Ochiba']
112c44,9624119968056,Default Title,Default Title — 2024FALL-178 Kumonryu,4800.0,True,https://www.champkoi.com/products/2024fall-178-kumonryu,Presale_Koi,['Kumonryu'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-178_600x_11be5c7b-2963-42a8-822d-4cdf0a3d5788.jpg?v=1730447996,champkoi_data/112c44_Default_Title_—_2024FALL-178_Kumonryu.jpg,"['Default', 'Title', '—', '2024FALL-178', 'Kumonryu']","['2024FALL-178', 'Kumonryu']",,,,,['Kumonryu']
8739ef,9638509871416,Default Title,Default Title — 2024FALL-188 Showa,4800.0,True,https://www.champkoi.com/products/2024fall-188-showa,Presale_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-188_600x_e3ae53ac-6ebe-49f6-89ef-cf6e4e09de67.jpg?v=1731533249,champkoi_data/8739ef_Default_Title_—_2024FALL-188_Showa.jpg,"['Default', 'Title', '—', '2024FALL-188', 'Showa']","['2024FALL-188', 'Showa']",,,,,['Showa']
b6f815,9638510231864,Default Title,Default Title — 2024FALL-189 Showa,4800.0,True,https://www.champkoi.com/products/2024fall-189-showa,Presale_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-189_600x_7860adfd-029a-4e4c-b787-6a264bffee9a.jpg?v=1731533288,champkoi_data/b6f815_Default_Title_—_2024FALL-189_Showa.jpg,"['Default', 'Title', '—', '2024FALL-189', 'Showa']","['2024FALL-189', 'Showa']",,,,,['Showa']
53783b,9877319516472,Default Title,Default Title — 25D-059 Karasugoi,4800.0,True,https://www.champkoi.com/products/25d-059-karasugoi,Single_Koi,['Karasugoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-059_600x_6f8d5310-da6a-4167-98ce-b1b5a21db701.jpg?v=1745110309,champkoi_data/53783b_Default_Title_—_25D-059_Karasugoi.jpg,"['Default', 'Title', '—', '25D-059', 'Karasugoi']","['25D-059', 'Karasugoi']",,,,,['Karasugoi']
2f2299,9829168808248,Default Title,Default Title — 25B-010 Golden Corn,5800.0,True,https://www.champkoi.com/products/25b-010-golden-corn,Single_Koi,['Golden Corn'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-010_600x_11207a61-96d2-47fa-a031-70483affed10.jpg?v=1741843820,champkoi_data/2f2299_Default_Title_—_25B-010_Golden_Corn.jpg,"['Default', 'Title', '—', '25B-010', 'Golden', 'Corn']","['25B-010', 'Golden', 'Corn']",,,,,['Golden Corn']
28dbe0,9829191614776,Default Title,Default Title — 25B-013 Golden Corn,5800.0,True,https://www.champkoi.com/products/25b-013-golden-corn,Single_Koi,['Golden Corn'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-013_600x_8d79f11c-8652-4ddd-bf70-1b8bf60a35f2.jpg?v=1741844021,champkoi_data/28dbe0_Default_Title_—_25B-013_Golden_Corn.jpg,"['Default', 'Title', '—', '25B-013', 'Golden', 'Corn']","['25B-013', 'Golden', 'Corn']",,,,,['Golden Corn']
0db514,9876548682040,Default Title,Default Title — 25D-024 Kujaku,5800.0,True,https://www.champkoi.com/products/25d-024-kujaku,Single_Koi,['Kujaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-024_600x_e65a9501-5626-42f1-bef4-b0755dfab714.jpg?v=1745004517,champkoi_data/0db514_Default_Title_—_25D-024_Kujaku.jpg,"['Default', 'Title', '—', '25D-024', 'Kujaku']","['25D-024', 'Kujaku']",,,,,['Kujaku']
79245b,9610889953592,Default Title,Default Title — 2024FALL-080 Mukashi Ogon,6800.0,True,https://www.champkoi.com/products/2024fall-080-mukashi-ogon,Presale_Koi,['Mukashi Ogon'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-080_600x_7a03e8bc-1dfe-488e-94c9-b3fd1eb9ad9e.jpg?v=1729235094,champkoi_data/79245b_Default_Title_—_2024FALL-080_Mukashi_Ogon.jpg,"['Default', 'Title', '—', '2024FALL-080', 'Mukashi', 'Ogon']","['2024FALL-080', 'Mukashi', 'Ogon']",,,,,['Mukashi Ogon']
5a5805,9876550025528,Default Title,Default Title — 25D-031 Tancho Showa,6800.0,True,https://www.champkoi.com/products/25d-031-tancho-showa,Single_Koi,['Tancho Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-031_600x_1c8d8fcc-7e41-42fa-a4a0-18459f511e59.jpg?v=1745004921,champkoi_data/5a5805_Default_Title_—_25D-031_Tancho_Showa.jpg,"['Default', 'Title', '—', '25D-031', 'Tancho', 'Showa']","['25D-031', 'Tancho', 'Showa']",,,,,['Tancho Showa']
18f755,8815742452024,"A: 32"" Female Kohaku [Nogami]","A: 32"" Female Kohaku [Nogami] — 2023FALL-109",14000.0,True,https://www.champkoi.com/products/2023fall-109,Presale_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/2023FALL-109.jpg?v=1698409722,champkoi_data/18f755_A_32_Female_Kohaku_[Nogami]_—_2023FALL-109.jpg,"['A:', '32""', 'Female', 'Kohaku', '[Nogami]', '—', '2023FALL-109']","['32""', 'Female', 'Kohaku', '[Nogami]', '2023FALL-109']",,"32""",Female,Nogami,['Kohaku']
52e490,9616299753784,Default Title,Default Title — 2024FALL-127 Yellow Mukashi Ogon,14000.0,True,https://www.champkoi.com/products/2024fall-127-yellow-mukashi-ogon,Presale_Koi,['Yellow Mukashi Ogon'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-127_600x_5218805b-d784-4f58-9808-fc0c48e8f1c2.jpg?v=1729776087,champkoi_data/52e490_Default_Title_—_2024FALL-127_Yellow_Mukashi_Ogon.jpg,"['Default', 'Title', '—', '2024FALL-127', 'Yellow', 'Mukashi', 'Ogon']","['2024FALL-127', 'Yellow', 'Mukashi', 'Ogon']",,,,,['Yellow Mukashi Ogon']
