uuid,sku,variety,title,price,in_stock,link,category,tags,image_url,image_path,split,cleaned_strings,length_cm,length_inches,gender,breeder,tags_list
edf872,8970192257336,Default Title,Default Title — 24B-073 Hariwake,2000.0,True,https://www.champkoi.com/products/24b-073-hardware,Single_Koi,['Hariwake'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24B-073.jpg?v=1706933620,champkoi_data/edf872_Default_Title_—_24B-073_Hariwake.jpg,"['Default', 'Title', '—', '24B-073', 'Hariwake']","['24B-073', 'Hariwake']",,,,,['Hariwake']
1ac3a8,8980190560568,Default Title,Default Title — 24D-131 Showa,2000.0,False,https://www.champkoi.com/products/24d-131-showa,Single_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/24D-131.jpg?v=1707352304,champkoi_data/1ac3a8_Default_Title_—_24D-131_Showa.jpg,"['Default', 'Title', '—', '24D-131', 'Showa']","['24D-131', 'Showa']",,,,,['Showa']
c7f865,9618551734584,Default Title,Default Title — 2024FALL-159 Showa,2000.0,True,https://www.champkoi.com/products/2024fall-159-showa,Presale_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-159_600x_faf419c1-846f-4775-8389-fda16560e12d.jpg?v=1730103317,champkoi_data/c7f865_Default_Title_—_2024FALL-159_Showa.jpg,"['Default', 'Title', '—', '2024FALL-159', 'Showa']","['2024FALL-159', 'Showa']",,,,,['Showa']
2bdbb6,9876545798456,Default Title,Default Title — 25D-013 Ginrin Kin Chagoi,2000.0,True,https://www.champkoi.com/products/25d-013-ginrin-kin-chagoi,Single_Koi,['Ginrin Kin Chagoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-013_600x_b07a3321-2f0e-41fc-a7b5-bc177d87c2fc.jpg?v=1745003926,champkoi_data/2bdbb6_Default_Title_—_25D-013_Ginrin_Kin_Chagoi.jpg,"['Default', 'Title', '—', '25D-013', 'Ginrin', 'Kin', 'Chagoi']","['25D-013', 'Ginrin', 'Kin', 'Chagoi']",,,,,['Ginrin Kin Chagoi']
e0ea4a,9877141455160,Default Title,Default Title — 25D-047 Kujaku,2000.0,True,https://www.champkoi.com/products/25d-047-kujaku,Single_Koi,['Kujaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-047_600x_e5440fd7-d72f-414e-9ad5-8eca52699186.jpg?v=1745075272,champkoi_data/e0ea4a_Default_Title_—_25D-047_Kujaku.jpg,"['Default', 'Title', '—', '25D-047', 'Kujaku']","['25D-047', 'Kujaku']",,,,,['Kujaku']
277385,9877318533432,Default Title,Default Title — 25D-050 Kujaku,2000.0,True,https://www.champkoi.com/products/25d-050-kujaku,Single_Koi,['Kujaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25D-050_600x_6189a14e-a947-4257-8718-c5258634d97b.jpg?v=1745109873,champkoi_data/277385_Default_Title_—_25D-050_Kujaku.jpg,"['Default', 'Title', '—', '25D-050', 'Kujaku']","['25D-050', 'Kujaku']",,,,,['Kujaku']
69fa9d,9829241946424,Default Title,Default Title — 25B-021 Ochiba,2200.0,True,https://www.champkoi.com/products/25b-021-ochiba,Single_Koi,['Ochiba'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-021_600x_108ce6a5-d5d5-4031-939a-71326327a460.jpg?v=1741844491,champkoi_data/69fa9d_Default_Title_—_25B-021_Ochiba.jpg,"['Default', 'Title', '—', '25B-021', 'Ochiba']","['25B-021', 'Ochiba']",,,,,['Ochiba']
bdb89c,8569603588408,Default Title,Default Title — 23A-308 Ginrin Soragoi,2240.0,False,https://www.champkoi.com/products/23a-308-ginrin-soragoi,Single_Koi,['Ginrin Soragoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/products/23A-308.jpg?v=1692557724,champkoi_data/bdb89c_Default_Title_—_23A-308_Ginrin_Soragoi.jpg,"['Default', 'Title', '—', '23A-308', 'Ginrin', 'Soragoi']","['23A-308', 'Ginrin', 'Soragoi']",,,,,['Ginrin Soragoi']
4024a4,9606416531768,Default Title,Default Title — 2024FALL-029 Ginrin Kohaku,2400.0,True,https://www.champkoi.com/products/2024fall-029,Presale_Koi,['Ginrin Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-029_600x_842d37c5-139c-4cc9-a65e-65893d53e680.jpg?v=1728861292,champkoi_data/4024a4_Default_Title_—_2024FALL-029_Ginrin_Kohaku.jpg,"['Default', 'Title', '—', '2024FALL-029', 'Ginrin', 'Kohaku']","['2024FALL-029', 'Ginrin', 'Kohaku']",,,,,['Ginrin Kohaku']
006254,9610895196472,Default Title,Default Title — 2024FALL-081 Yellow Kogane Ochiba,2400.0,True,https://www.champkoi.com/products/2024fall-081-yellow-kogane-ochiba,Presale_Koi,['Yellow Kogane Ochiba'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-081_600x_fb7b63dc-74e4-4dc6-b6f1-8a20605eab4e.jpg?v=1729235324,champkoi_data/006254_Default_Title_—_2024FALL-081_Yellow_Kogane_Ochiba.jpg,"['Default', 'Title', '—', '2024FALL-081', 'Yellow', 'Kogane', 'Ochiba']","['2024FALL-081', 'Yellow', 'Kogane', 'Ochiba']",,,,,['Yellow Kogane Ochiba']
4a5e3b,9617347608888,Default Title,Default Title — 2024FALL-158 Showa,2400.0,True,https://www.champkoi.com/products/2024fall-158-showa,Presale_Koi,['Showa'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/2024FALL-158_600x_eb9ca0c8-55c3-4771-a3c9-c3f7f309d740.jpg?v=1729926497,champkoi_data/4a5e3b_Default_Title_—_2024FALL-158_Showa.jpg,"['Default', 'Title', '—', '2024FALL-158', 'Showa']","['2024FALL-158', 'Showa']",,,,,['Showa']
97515d,9829199675704,Default Title,Default Title — 25B-014 Doitsu Karashigoi,2400.0,False,https://www.champkoi.com/products/25b-014-doitsu-karashigoi,Single_Koi,['Doitsu Karashigoi'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-014_600x_9967a0e8-6fcd-4978-a700-3a9ce456a8a6.jpg?v=1741844092,champkoi_data/97515d_Default_Title_—_25B-014_Doitsu_Karashigoi.jpg,"['Default', 'Title', '—', '25B-014', 'Doitsu', 'Karashigoi']","['25B-014', 'Doitsu', 'Karashigoi']",,,,,['Doitsu Karashigoi']
47f870,9829211308344,Default Title,Default Title — 25B-016 Kohaku,2400.0,True,https://www.champkoi.com/products/25b-016-kohaku,Single_Koi,['Kohaku'],https://cdn.shopify.com/s/files/1/0749/6132/2296/files/25B-016_600x_8590698f-25d5-4016-813c-843beef2120f.jpg?v=1741844198,champkoi_data/47f870_Default_Title_—_25B-016_Kohaku.jpg,"['Default', 'Title', '—', '25B-016', 'Kohaku']","['25B-016', 'Kohaku']",,,,,['Kohaku']
