uuid,link,title,price,sku,details,image,image_url,breeder,length_inches,tags
a9c28e,https://www.grandkoi.com/product/showa-7025/,Showa,"$15,999.00",7025,"['Breeder: Isa', 'Inches: 29']",grandkoi_data/a9c28e_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/16-QT2-FEB-13-2023-29-inches-300x450.jpeg,Isa,29.0,['Showa']
098839,https://www.grandkoi.com/product/showa-7024/,Showa,"$15,999.00",7024,"['Breeder: Isa', 'Inches: 28']",grandkoi_data/098839_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/17-QT2-FEB-13-2023-28inches-300x450.jpeg,Isa,28.0,['Showa']
7ba40f,https://www.grandkoi.com/product/showa-7022/,Showa- SOLD,,7022,"['Breeder: Isa', 'Inches: 29']",grandkoi_data/7ba40f_Showa- SOLD.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/19-QT2-FEB-13-2023-29inches-300x450.jpeg,Isa,29.0,['Showa']
ac737f,https://www.grandkoi.com/product/showa-7021/,Showa,"$14,999.00",7021,"['Breeder: Miyatora', 'Inches: 30']",grandkoi_data/ac737f_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/20-QT2-FEB-13-2023-30-inches-300x450.jpeg,Miyatora,30.0,['Showa']
c473b2,https://www.grandkoi.com/product/showa-7019/,Showa,"$17,999.00",7019,"['Breeder: Isa', 'Inches: 33']",grandkoi_data/c473b2_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/22-QT2-FEB-13-2023-31-inches-300x450.jpeg,Isa,33.0,['Showa']
264622,https://www.grandkoi.com/product/showa-165/,Showa,"$10,999.00Original price was: $10,999.00.$8,000.00Current price is: $8,000.00.",7018,"['Breeder: Isa', 'Inches: 29']",grandkoi_data/264622_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/23-QT2-FEB-13-2023-29-inches-300x450.jpeg,Isa,29.0,['Showa']
da4ce1,https://www.grandkoi.com/product/showa-7018/,Showa,"$19,999.00",7017,"['Breeder: Miyatora', 'Inches: 29']",grandkoi_data/da4ce1_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/24-QT2-FEB-13-2023-29-inches-300x450.jpeg,Miyatora,29.0,['Showa']
84f22f,https://www.grandkoi.com/product/showa-7016/,Showa,"$12,999.00",7016,"['Breeder: Isa', 'Inches: 28']",grandkoi_data/84f22f_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/25-QT2-FEB-13-2023-28-inches-300x450.jpeg,Isa,28.0,['Showa']
d9ea14,https://www.grandkoi.com/product/showa-113/,Showa,"$12,999.00",7015,"['Breeder: Isa', 'Inches: 27']",grandkoi_data/d9ea14_Showa.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/26-QT2-FEB-13-2023-27-inches-300x450.jpeg,Isa,27.0,['Showa']
040c9c,https://www.grandkoi.com/product/sanke-7014/,Sanke,"$8,999.00",7014,"['Breeder: Isa', 'Inches: 28']",grandkoi_data/040c9c_Sanke.jpeg,https://www.grandkoi.com/wp-content/uploads/2023/03/27-QT2-FEB-13-2023-28-inches-300x450.jpeg,Isa,28.0,['Sanke']
