,link,title,category,price,sku,image,image_url
61578e3a,https://nextdaykoi.com/product/5-5-imported-hariwake-butterfly-koi-26/,5.5” Imported Hariwake Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$100.00,HS0430D491202,nextdaykoi_data/61578e3a_5.5”_Imported_Hariwake_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_49_12-8.jpg
2a59fec0,https://nextdaykoi.com/product/5-5-imported-kin-kikokuryu-butterfly-koi-31/,5.5” Imported Heisei Nishiki Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Heisei Nishiki', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$100.00,HS0430D491201,nextdaykoi_data/2a59fec0_5.5”_Imported_Heisei_Nishiki_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_49_12-3.jpg
503eb388,https://nextdaykoi.com/product/5-imported-hariwake-butterfly-koi-42/,5” Imported Hariwake Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hariwake', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi']",$64.00$57.60,HS0430D3015C14,nextdaykoi_data/503eb388_5”_Imported_Hariwake_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_30_15C-72.jpg
bdaa9476,https://nextdaykoi.com/product/4-5-imported-yamato-nishiki-butterfly-koi-25/,4.5” Imported Yamato Nishiki Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi', 'Yamato Nishiki']",$64.00$57.60,HS0430D3015C10,nextdaykoi_data/bdaa9476_4.5”_Imported_Yamato_Nishiki_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_30_15C-49.jpg
b2035582,https://nextdaykoi.com/product/4-5-imported-orenji-ogon-butterfly-koi-7/,4.5” Imported Orenji Ogon Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimuji', 'Imported Koi', 'Koi', 'Orenji Ogon', 'Single Fish', 'Single Koi']",$64.00$57.60,HS0430D3015C04,nextdaykoi_data/b2035582_4.5”_Imported_Orenji_Ogon_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_30_15C-19.jpg
d3617fa3,https://nextdaykoi.com/product/4-5-imported-yamato-nishiki-butterfly-koi-24/,4.5” Imported Yamato Nishiki Butterfly Koi,"['All Hikari Koi', 'Butterfly Koi', 'Hikarimoyo', 'Imported Koi', 'Koi', 'Single Fish', 'Single Koi', 'Yamato Nishiki']",$64.00$57.60,HS0430D3015C03,nextdaykoi_data/d3617fa3_4.5”_Imported_Yamato_Nishiki_Butterfly_Koi.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_D_30_15C-14.jpg
4cc9c1d9,https://nextdaykoi.com/product/3-5-imported-calico-fantail-4/,3.5” Imported Calico Fantail,"['Fantail', 'Goldfish For Sale', 'Imported Goldfish', 'Single Fish', 'Single Goldfish']",$28.00$25.20,H0430G0841213,nextdaykoi_data/4cc9c1d9_3.5”_Imported_Calico_Fantail.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_084_12-75.jpg
9b9726f9,https://nextdaykoi.com/product/2-5-imported-calico-butterfly-tail/,2.5” Imported Calico Butterfly Tail,"['Butterfly Tail', 'Goldfish For Sale', 'Imported Goldfish', 'Single Fish', 'Single Goldfish']",$28.00$25.20,H0430G0841211,nextdaykoi_data/9b9726f9_2.5”_Imported_Calico_Butterfly_Tail.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_084_12-63.jpg
69c18cbc,https://nextdaykoi.com/product/3-5-imported-red-and-black-oranda-4/,3.5” Imported Red and Black Oranda,"['Goldfish For Sale', 'Imported Goldfish', 'Oranda', 'Single Fish', 'Single Goldfish']",$28.00$25.20,H0430G0841210,nextdaykoi_data/69c18cbc_3.5”_Imported_Red_and_Black_Oranda.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_084_12-57.jpg
3f0aa86f,https://nextdaykoi.com/product/3-imported-red-and-white-oranda-7/,3” Imported Red and White Oranda,"['Goldfish For Sale', 'Imported Goldfish', 'Oranda', 'Single Fish', 'Single Goldfish']",$28.00$25.20,H0430G0841201,nextdaykoi_data/3f0aa86f_3”_Imported_Red_and_White_Oranda.jpg,https://d2e07cbkdk0gwy.cloudfront.net/wp-content/uploads/2025/05/2025.04.30_G_084_12-3.jpg
