,link,title,category,out_of_stock,price,sku,image,image_url
fea617,https://sacramentokoi.com/yellow-dragon-15-240154402/,Yellow Dragon 15″ – 240154402,Aokiya,True,$350.00,240154402,sacramentokoi_data/fea617_Yellow_Dragon_15″_–_240154402.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154402-2.jpg
a21232,https://sacramentokoi.com/yellow-dragon-15-240154406/,Yellow Dragon 15″ – 240154406,Aokiya,True,$375.00,240154406,sacramentokoi_data/a21232_Yellow_Dragon_15″_–_240154406.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154406-2.jpg
6e00cb,https://sacramentokoi.com/yellow-dragon-15-240287394/,Yellow Dragon 15″ – 240287394,Aokiya,True,$800.00,240287394,sacramentokoi_data/6e00cb_Yellow_Dragon_15″_–_240287394.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240287394-2.jpg
e418fb,https://sacramentokoi.com/yellow-dragon-16-240154399/,Yellow Dragon 16″ – 240154399,Aokiya,True,$475.00,240154399,sacramentokoi_data/e418fb_Yellow_Dragon_16″_–_240154399.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154399-2.jpg
207681,https://sacramentokoi.com/yellow-dragon-16-240287391/,Yellow Dragon 16″ – 240287391,Aokiya,True,$750.00,240287391,sacramentokoi_data/207681_Yellow_Dragon_16″_–_240287391.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240287391-2.jpg
99a251,https://sacramentokoi.com/yellow-dragon-16-240287392/,Yellow Dragon 16″ – 240287392,Aokiya,True,$650.00,240287392,sacramentokoi_data/99a251_Yellow_Dragon_16″_–_240287392.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240287392-2.jpg
e04f2c,https://sacramentokoi.com/yellow-dragon-17-240154405/,Yellow Dragon 17″ – 240154405,Aokiya,True,$600.00,240154405,sacramentokoi_data/e04f2c_Yellow_Dragon_17″_–_240154405.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240154405-2.jpg
754a14,https://sacramentokoi.com/yellow-ginga-14-240054090/,Yellow Ginga 14″ – 240054090,Ginga,True,$375.00,240054090,sacramentokoi_data/754a14_Yellow_Ginga_14″_–_240054090.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240054090-1-247x437.jpg
1cb46d,https://sacramentokoi.com/yellow-ginga-19-240489285/,Yellow Ginga 19″ – 240489285,Ginga,True,"$1,600.00",240489285,sacramentokoi_data/1cb46d_Yellow_Ginga_19″_–_240489285.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240489285-2.jpg
ba392c,https://sacramentokoi.com/yellow-ginga-20-240290281/,Yellow Ginga 20″ – 240290281,Female,True,"$2,300.00",240290281,sacramentokoi_data/ba392c_Yellow_Ginga_20″_–_240290281.jpg,https://sacramentokoi.com/wp-content/uploads/2024/12/240290281-2.jpg
9a51ec,https://sacramentokoi.com/koi-pre-order-product/,Koi Pre-Order,Koi,False,$100.00,,sacramentokoi_data/9a51ec_Koi_Pre-Order.jpg,https://sacramentokoi.com/wp-content/uploads/2019/09/Page-1-247x316.jpg
